date, pm25, pm10, o3, no2, so2, co
2020/8/22, 65, 27, 21, 25, 7, 
2020/8/23, 62, 21, 15, 22, 7, 
2020/8/24, 45, 14, 8, 20, 7, 
2020/8/25, 38, 16, 16, 21, 9, 
2020/8/26, 40, 23, 16, 25, 7, 
2020/8/27, 44, 17, 21, 21, 8, 
2020/8/28, 30, 15, 20, 22, 8, 
2020/8/29, 36, 15, 20, 22, 7, 
2020/8/30, 40, 29, 19, 27, 7, 
2020/8/31, 52, 21, 15, 22, 7, 
2020/7/1, 36, 29, 15, 15, 6, 
2020/7/2, 61, 28, 12, 14, 6, 
2020/7/3, 58, 19, 14, 14, 6, 
2020/7/4, 44, 20, 22, 14, 6, 
2020/7/5, 53, 28, 22, 21, 6, 
2020/7/6, 55, 27, 17, 19, 6, 
2020/7/7, 44, 25, 23, 20, 6, 
2020/7/8, 55, 28, 22, 22, 6, 
2020/7/9, 53, 23, 22, 19, 6, 
2020/7/10, 46, 19, 23, 16, 6, 
2020/7/11, 35, 16, 15, 13, 6, 
2020/7/12, 35, 14, 16, 16, 6, 
2020/7/13, 32, 18, 18, 17, 6, 
2020/7/14, 35, 32, 22, 25, 7, 
2020/7/15, 62, 31, 21, 23, 7, 
2020/7/16, 67, 21, 11, 18, 6, 
2020/7/17, 50, 15, 11, 12, 6, 
2020/7/18, 50, 13, 11, 13, 6, 
2020/7/19, 45, 16, 18, 16, 6, 
2020/7/20, 44, 26, 20, 22, 6, 
2020/7/21, 57, 26, 26, 23, 6, 
2020/7/22, 61, 24, 19, 21, 7, 
2020/7/23, 58, 28, 19, 16, 7, 
2020/7/24, 71, 17, 8, 12, 7, 
2020/7/25, 50, 15, 11, 11, 6, 
2020/7/26, 49, 24, 18, 16, 6, 
2020/7/27, 59, 21, 24, 20, 6, 
2020/7/28, 49, 23, 26, 19, 9, 
2020/7/29, 55, 32, 21, 27, 8, 
2020/7/30, 61, 28, 21, 23, 7, 
2020/7/31, 61, 25, 23, 20, 7, 
2020/6/1, 51, 20, 13, 12, 5, 
2020/6/2, 54, 19, 11, 11, 5, 
2020/6/3, 41, 54, 16, 12, 6, 
2020/6/4, 46, 17, 18, 12, 5, 
2020/6/5, 34, 23, 13, 12, 5, 
2020/6/6, 51, 20, 15, 11, 5, 
2020/6/7, 52, 22, 11, 10, 5, 
2020/6/8, 60, 19, 9, 9, 5, 
2020/6/9, 52, 21, 9, 9, 6, 
2020/6/10, 58, 21, 8, 10, 6, 
2020/6/11, 56, 17, 11, 11, 6, 
2020/6/12, 34, 19, 20, 11, 5, 
2020/6/13, 36, 19, 21, 10, 6, 
2020/6/14, 41, 18, 13, 8, 6, 
2020/6/15, 43, 21, 10, 8, 5, 
2020/6/16, 54, 22, 7, 10, 6, 
2020/6/17, 61, 20, 8, 9, 5, 
2020/6/18, 55, 21, 14, 10, 5, 
2020/6/19, 41, 13, 15, 8, 5, 
2020/6/20, 31, 8, 11, 6, 5, 
2020/6/21, 31, 15, 7, 7, 5, 
2020/6/22, 49, 19, 7, 8, 5, 
2020/6/23, 52, 20, 13, 10, 5, 
2020/6/24, 48, 29, 18, 12, 5, 
2020/6/25, 63, 30, 15, 12, 5, 
2020/6/26, 61, 22, 21, 7, 6, 
2020/6/27, 51, 22, 27, 10, 6, 
2020/6/28, 49, 31, 24, 16, 7, 
2020/6/29, 59, 13, 18, 14, 6, 
2020/6/30, 28, 19, 22, 14, 7, 
2020/5/25, 35, 15, 7, 11, 4, 
2020/5/26, 49, 18, 11, 12, 4, 
2020/5/27, 52, 18, 17, 11, 4, 
2020/5/28, 51, 24, 16, 12, 4, 
2020/5/29, 61, 22, 12, 11, 4, 
2020/5/30, 63, 15, 17, 9, 4, 
2020/5/31, 40, 16, 6, 11, 5, 
